label,value,slug,optionType
1E Info Private Limited,1e info private limited,1e-info-private-limited,company
1MG Technologies Private Limited,1mg technologies private limited,1mg-technologies-private-limited,company
22Feet Tribal Worldwide,22feet tribal worldwide,22feet-tribal-worldwide,company
22Light,22light,22light,company
22Motors,22motors,22motors,company
247.ai,247.ai,247.ai,company
24x7,24x7,24x7,company
24x7 games,24x7 games,24x7-games,company
27x7 Customer Private Limited,27x7 customer private limited,27x7-customer-private-limited,company
2COMS Consulting,2coms consulting,2coms-consulting,company
2V Engineering interiors India Private Limited,2v engineering interiors india private limited,2v-engineering-interiors-india-private-limited,company
3 Gen Consulting Services LLP,3 gen consulting services llp,3-gen-consulting-services-llp,company
360 Degree Cloud,360 degree cloud,360-degree-cloud,company
3DCAD India Private Limited,3dcad india private limited,3dcad-india-private-limited,company
3DPLM Software Solutions Limited,3dplm software solutions limited,3dplm-software-solutions-limited,company
3F Industries Limited,3f industries limited,3f-industries-limited,company
3Gen Consulting Services LLP,3gen consulting services llp,3gen-consulting-services-llp,company
3I Infotech,3i infotech,3i-infotech,company
3M India Limited,3m india limited,3m-india-limited,company
42 Gears,42 gears,42-gears,company
4Achievers Private Limited,4achievers private limited,4achievers-private-limited,company
4i Apps Solutions Private Limited,4i apps solutions private limited,4i-apps-solutions-private-limited,company
56N Software Private Limited,56n software private limited,56n-software-private-limited,company
5paisa Capital Limited,5paisa capital limited,5paisa-capital-limited,company
91 Springboard,91 springboard,91-springboard,company
9X Media Private Limited,9x media private limited,9x-media-private-limited,company
A and R Bon Vivants Private Limited,a and r bon vivants private limited,a-and-r-bon-vivants-private-limited,company
A K Capital Services Limited,a k capital services limited,a-k-capital-services-limited,company
A V Thomas and company,a v thomas and company,a-v-thomas-and-company,company
A-Mark Precious Metals,a-mark precious metals,a-mark-precious-metals,company
A-Z Technologies,a-z technologies,a-z-technologies,company
A.O. Smith,a.o. smith,a.o.-smith,company
A.T. Kearney,a.t. kearney,a.t.-kearney,company
A.V. Thomas Leather & Allied Products Private Limited,a.v. thomas leather & allied products private limited,a.v.-thomas-leather-&-allied-products-private-limited,company
A2Z Group,a2z group,a2z-group,company
A2Z Infraservices Limited,a2z infraservices limited,a2z-infraservices-limited,company
