label,value,slug ,optionType
Bachelor of Arts (B.A),bachelor of arts (b.a),bachelor-of-arts-(b.a),degree
Bachelor of Commerce (B.Com),bachelor of commerce (b.com),bachelor-of-commerce-(b.com),degree
Bachelor of Computer Applications (B.C.A),bachelor of computer applications (b.c.a),bachelor-of-computer-applications-(b.c.a),degree
Bachelor of Science (B.Sc.),bachelor of science (b.sc.),bachelor-of-science-(b.sc.),degree
Bachelor of Science in Nursing (B.Sc. Nursing),bachelor of science in nursing (b.sc. nursing),bachelor-of-science-in-nursing-(b.sc.-nursing),degree
Master of Arts (M.A.),master of arts (m.a.),master-of-arts-(m.a.),degree
Master of Science (M. Sc.),master of science (m. sc.),master-of-science-(m.-sc.),degree
Bachelor of Pharmacy (B.Pharm.),bachelor of pharmacy (b.pharm.),bachelor-of-pharmacy-(b.pharm.),degree
Bachelor of Engineering (B.E.),bachelor of engineering (b.e.),bachelor-of-engineering-(b.e.),degree
Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.),bachelor of medicine and bachelor of surgery (m.b.b.s.),bachelor-of-medicine-and-bachelor-of-surgery-(m.b.b.s.),degree
Bachelor of Technology (B.Tech.),bachelor of technology (b.tech.),bachelor-of-technology-(b.tech.),degree
Bachelor of Dental Surgery (B.D.S.),bachelor of dental surgery (b.d.s.),bachelor-of-dental-surgery-(b.d.s.),degree
Bachelor of Business Management (B.B.M.),bachelor of business management (b.b.m.),bachelor-of-business-management-(b.b.m.),degree
Master of Business Administration (M.B.A.),master of business administration (m.b.a.),master-of-business-administration-(m.b.a.),degree
Bachelor of Business Administration (B.B.A.),bachelor of business administration (b.b.a.),bachelor-of-business-administration-(b.b.a.),degree
Doctor of Philosophy (Ph.D.),doctor of philosophy (ph.d.),doctor-of-philosophy-(ph.d.),degree
Diploma,diploma,diploma,degree
Bachelor of Education (B.Ed.),bachelor of education (b.ed.),bachelor-of-education-(b.ed.),degree
Bachelor of Physiotherapy (B.P.T.),bachelor of physiotherapy (b.p.t.),bachelor-of-physiotherapy-(b.p.t.),degree
Master of Technology (M.Tech.),master of technology (m.tech.),master-of-technology-(m.tech.),degree
"Bachelor of Arts, Bachelor of Law or Laws (B.A.L.L.B.)","bachelor of arts, bachelor of law or laws (b.a.l.l.b.)","bachelor-of-arts,-bachelor-of-law-or-laws-(b.a.l.l.b.)",degree
Master of Commerce (M.Com.),master of commerce (m.com.),master-of-commerce-(m.com.),degree
Bachelor of Law or Laws (L.L.B.),bachelor of law or laws (l.l.b.),bachelor-of-law-or-laws-(l.l.b.),degree
Doctor of Medicine (M.D.),doctor of medicine (m.d.),doctor-of-medicine-(m.d.),degree
Bachelor of Architecture (B.Arch.),bachelor of architecture (b.arch.),bachelor-of-architecture-(b.arch.),degree
Master of Computer Applications (M. C. A.),master of computer applications (m. c. a.),master-of-computer-applications-(m.-c.-a.),degree
Master of Law (L.L.M.),master of law (l.l.m.),master-of-law-(l.l.m.),degree
Post Graduate Diploma (PG Diploma),post graduate diploma (pg diploma),post-graduate-diploma-(pg-diploma),degree
"Dual Degree (B.Tech, M.Tech)","dual degree (b.tech, m.tech)","dual-degree-(b.tech,-m.tech)",degree
Bachelor of Social Work (B.S.W.),bachelor of social work (b.s.w.),bachelor-of-social-work-(b.s.w.),degree
Bachelor of Hotel Management (B.H.M.),bachelor of hotel management (b.h.m.),bachelor-of-hotel-management-(b.h.m.),degree
Master of Surgery (M.S.),master of surgery (m.s.),master-of-surgery-(m.s.),degree
Integrated Doctor of Philosophy (Integrated Ph.D),integrated doctor of philosophy (integrated ph.d),integrated-doctor-of-philosophy-(integrated-ph.d),degree
Master of Science (M.S.),master of science (m.s.),master-of-science-(m.s.),degree
Master of Science in Nursing (M.Sc. Nursing),master of science in nursing (m.sc. nursing),master-of-science-in-nursing-(m.sc.-nursing),degree
Master of Pharmacy (M.Pharm.),master of pharmacy (m.pharm.),master-of-pharmacy-(m.pharm.),degree
Bachelor of Fine Arts (B.F.A.),bachelor of fine arts (b.f.a.),bachelor-of-fine-arts-(b.f.a.),degree
Master of Engineering (M.E.),master of engineering (m.e.),master-of-engineering-(m.e.),degree
Bachelor of Design (B.Des.),bachelor of design (b.des.),bachelor-of-design-(b.des.),degree
Bachelor of Ayurved in Pharmacy (B.Pharm. Ayu.),bachelor of ayurved in pharmacy (b.pharm. ayu.),bachelor-of-ayurved-in-pharmacy-(b.pharm.-ayu.),degree
Master of Education (M.Ed.),master of education (m.ed.),master-of-education-(m.ed.),degree
Bachelor of Multi Media (B.M.M.),bachelor of multi media (b.m.m.),bachelor-of-multi-media-(b.m.m.),degree
Master of Physiotherapy (M.P.T.),master of physiotherapy (m.p.t.),master-of-physiotherapy-(m.p.t.),degree
Bachelor of Audiology and Speech Language Pathology (B.A.S.L.P.),bachelor of audiology and speech language pathology (b.a.s.l.p.),bachelor-of-audiology-and-speech-language-pathology-(b.a.s.l.p.),degree
