label,value,slug ,optionType
"A and M Institute of Management and Technology, Pathankot","a and m institute of management and technology, pathankot","a-and-m-institute-of-management-and-technology,-pathankot",institute
"A1 Global Institute of Engineering and Technology, Prakasam","a1 global institute of engineering and technology, prakasam","a1-global-institute-of-engineering-and-technology,-prakasam",institute
"AAA College of Engineering and Technology, Thiruthangal","aaa college of engineering and technology, thiruthangal","aaa-college-of-engineering-and-technology,-thiruthangal",institute
"Aadishwar College of Technology, Gandhinagar","aadishwar college of technology, gandhinagar","aadishwar-college-of-technology,-gandhinagar",institute
"AAFT University of Media and Arts, Raipur","aaft university of media and arts, raipur","aaft-university-of-media-and-arts,-raipur",institute
"Aakar Academy of Architecture, Bangalore","aakar academy of architecture, bangalore","aakar-academy-of-architecture,-bangalore",institute
"Aalim Muhammed Salegh Academy of Architecture, Chennai","aalim muhammed salegh academy of architecture, chennai","aalim-muhammed-salegh-academy-of-architecture,-chennai",institute
"Aalim Muhammed Salegh College of Engineering, Chennai","aalim muhammed salegh college of engineering, chennai","aalim-muhammed-salegh-college-of-engineering,-chennai",institute
"Aalim Muhammed Salegh Polytechnic College, Chennai","aalim muhammed salegh polytechnic college, chennai","aalim-muhammed-salegh-polytechnic-college,-chennai",institute
"Aamdar Kashinathji Mengal Polytechnic, Nashik","aamdar kashinathji mengal polytechnic, nashik","aamdar-kashinathji-mengal-polytechnic,-nashik",institute
"AANM and VVRSR Polytechnic, Krishna","aanm and vvrsr polytechnic, krishna","aanm-and-vvrsr-polytechnic,-krishna",institute
"AAR Mahaveer Engineering College, Keshavgiri","aar mahaveer engineering college, keshavgiri","aar-mahaveer-engineering-college,-keshavgiri",institute
"Aarav Polytechnic College, Jaipur","aarav polytechnic college, jaipur","aarav-polytechnic-college,-jaipur",institute
"Aarooran Polytechnic College, Tiruvarur","aarooran polytechnic college, tiruvarur","aarooran-polytechnic-college,-tiruvarur",institute
"Aarsh Mahavidyalaya, Rajkot","aarsh mahavidyalaya, rajkot","aarsh-mahavidyalaya,-rajkot",institute
