label,value,slug ,optionType
Academic Counsellor,academic counsellor,academic-counsellor,job_title
Accessibility Specialist,accessibility specialist,accessibility-specialist,job_title
Accountant,accountant,accountant,job_title
Accounting Analyst,accounting analyst,accounting-analyst,job_title
Accounting Assistant,accounting assistant,accounting-assistant,job_title
Accounting Clerk,accounting clerk,accounting-clerk,job_title
Accounting Director,accounting director,accounting-director,job_title
Accounts Analyst,accounts analyst,accounts-analyst,job_title
Accounts Associate,accounts associate,accounts-associate,job_title
Accounts Auditor,accounts auditor,accounts-auditor,job_title
Accounts Consultant,accounts consultant,accounts-consultant,job_title
Accounts Executive,accounts executive,accounts-executive,job_title
Accounts Faculty,accounts faculty,accounts-faculty,job_title
Accounts Manager,accounts manager,accounts-manager,job_title
Accounts Officer,accounts officer,accounts-officer,job_title
Accounts Supervisor,accounts supervisor,accounts-supervisor,job_title
Administrative Analyst,administrative analyst,administrative-analyst,job_title
Administrative Assistant,administrative assistant,administrative-assistant,job_title
Administrative Coordinator,administrative coordinator,administrative-coordinator,job_title
Administrative Manager,administrative manager,administrative-manager,job_title
Administrative Specialist,administrative specialist,administrative-specialist,job_title
Administrator,administrator,administrator,job_title
AEM Developer,aem developer,aem-developer,job_title
Aeronautical Engineer,aeronautical engineer,aeronautical-engineer,job_title
Aerospace Engineer,aerospace engineer,aerospace-engineer,job_title
Agile Project Manager,agile project manager,agile-project-manager,job_title
Agriculture Engineer,agriculture engineer,agriculture-engineer,job_title
Agriculture Field Officer,agriculture field officer,agriculture-field-officer,job_title
Aircraft Maintenance Engineer,aircraft maintenance engineer,aircraft-maintenance-engineer,job_title
Aircraft Technician,aircraft technician,aircraft-technician,job_title
Anaesthetic Technician,anaesthetic technician,anaesthetic-technician,job_title
Analyst,analyst,analyst,job_title
Android Developer,android developer,android-developer,job_title
Ansible Automation Engineer,ansible automation engineer,ansible-automation-engineer,job_title
Ansible Operations Engineer,ansible operations engineer,ansible-operations-engineer,job_title
API Lead Designer,api lead designer,api-lead-designer,job_title
AppDynamics Engineer,appdynamics engineer,appdynamics-engineer,job_title
Application Developer,application developer,application-developer,job_title
Application Development Analyst,application development analyst,application-development-analyst,job_title
Application Engineer,application engineer,application-engineer,job_title
Application Security Engineer,application security engineer,application-security-engineer,job_title
AR Caller,ar caller,ar-caller,job_title
Architect,architect,architect,job_title
Area Manager,area manager,area-manager,job_title
Area Sales Manager,area sales manager,area-sales-manager,job_title
Art Director,art director,art-director,job_title
Art Teacher,art teacher,art-teacher,job_title
Artifactory Administrator,artifactory administrator,artifactory-administrator,job_title
Artifactory Engineer,artifactory engineer,artifactory-engineer,job_title
Artificial intelligence Architect,artificial intelligence architect,artificial-intelligence-architect,job_title
Artificial Intelligence Engineer,artificial intelligence engineer,artificial-intelligence-engineer,job_title
Artificial intelligence or Machine Learning Engineer,artificial intelligence or machine learning engineer,artificial-intelligence-or-machine-learning-engineer,job_title
Artificial Intelligence or Machine Learning Leader,artificial intelligence or machine learning leader,artificial-intelligence-or-machine-learning-leader,job_title
Artificial Intelligence Researcher,artificial intelligence researcher,artificial-intelligence-researcher,job_title
Artist,artist,artist,job_title
Assistant,assistant,assistant,job_title
Assistant Engineer,assistant engineer,assistant-engineer,job_title
Assistant Front Office Manager,assistant front office manager,assistant-front-office-manager,job_title
Assistant Manager,assistant manager,assistant-manager,job_title
Assistant Professor,assistant professor,assistant-professor,job_title
Assistant Registrar,assistant registrar,assistant-registrar,job_title
Assistant Restaurant Manager,assistant restaurant manager,assistant-restaurant-manager,job_title
Associate,associate,associate,job_title
Associate Analyst,associate analyst,associate-analyst,job_title
Associate Product Manager,associate product manager,associate-product-manager,job_title
Associate Professor,associate professor,associate-professor,job_title
Astronomer,astronomer,astronomer,job_title
Atmospheric Scientist,atmospheric scientist,atmospheric-scientist,job_title
Attorney,attorney,attorney,job_title
Auditing Clerk,auditing clerk,auditing-clerk,job_title
Auditor,auditor,auditor,job_title
Auto Electrician,auto electrician,auto-electrician,job_title
Automation Engineer,automation engineer,automation-engineer,job_title
Automation Tester,automation tester,automation-tester,job_title
Automobile Engineer,automobile engineer,automobile-engineer,job_title
Automotive Technician,automotive technician,automotive-technician,job_title
AWS Cloud Architect,aws cloud architect,aws-cloud-architect,job_title
AWS DevOps Engineer,aws devops engineer,aws-devops-engineer,job_title
AWS Engineer,aws engineer,aws-engineer,job_title
AWS Solutions Architect,aws solutions architect,aws-solutions-architect,job_title
Azure Developer,azure developer,azure-developer,job_title
Azure DevOps Engineer,azure devops engineer,azure-devops-engineer,job_title
B2B Sales Specialist,b2b sales specialist,b2b-sales-specialist,job_title
Academic Coordinator,academic coordinator,academic-coordinator,job_title
Back End Developer,back end developer,back-end-developer,job_title
Back Office Executive,back office executive,back-office-executive,job_title
Backend Developer,backend developer,backend-developer,job_title
Bamboo Engineer,bamboo engineer,bamboo-engineer,job_title
Bank Manager,bank manager,bank-manager,job_title
Banking Officer,banking officer,banking-officer,job_title
Big Data Admin,big data admin,big-data-admin,job_title
Big Data Architect,big data architect,big-data-architect,job_title
Big Data Developer,big data developer,big-data-developer,job_title
Big Data Engineer,big data engineer,big-data-engineer,job_title
Big Data Specialist,big data specialist,big-data-specialist,job_title
Billing Engineer,billing engineer,billing-engineer,job_title
Biological Engineer,biological engineer,biological-engineer,job_title
Biology Teacher,biology teacher,biology-teacher,job_title
Biomedical Engineer,biomedical engineer,biomedical-engineer,job_title
Biostatistician,biostatistician,biostatistician,job_title
Bitbucket Engineer,bitbucket engineer,bitbucket-engineer,job_title
Blockchain Developer,blockchain developer,blockchain-developer,job_title
BMS Operator,bms operator,bms-operator,job_title
Board of Directors,board of directors,board-of-directors,job_title
Boiler Attendant,boiler attendant,boiler-attendant,job_title
Boiler Engineer,boiler engineer,boiler-engineer,job_title
Boiler Operation Engineer,boiler operation engineer,boiler-operation-engineer,job_title
Boiler Operator,boiler operator,boiler-operator,job_title
Bookkeeper,bookkeeper,bookkeeper,job_title
Branch Manager,branch manager,branch-manager,job_title
Brand Ambassador,brand ambassador,brand-ambassador,job_title
Brand Manager,brand manager,brand-manager,job_title
Brand Strategist,brand strategist,brand-strategist,job_title
Broadcast Engineer,broadcast engineer,broadcast-engineer,job_title
Budget Analyst,budget analyst,budget-analyst,job_title
Build and Release Engineer,build and release engineer,build-and-release-engineer,job_title
Build Engineer,build engineer,build-engineer,job_title
Building Manager,building manager,building-manager,job_title
Business Analyst,business analyst,business-analyst,job_title
Business Associate,business associate,business-associate,job_title
Business Consultant,business consultant,business-consultant,job_title
Business Development Executive,business development executive,business-development-executive,job_title
