label,value,slug ,optionType
Accommodation Management,accommodation management,accommodation-management,specialization
Accounts and Finance,accounts and finance,accounts-and-finance,specialization
Actuarial Science,actuarial science,actuarial-science,specialization
Administrative Law,administrative law,administrative-law,specialization
Advanced Biochemistry,advanced biochemistry,advanced-biochemistry,specialization
Advanced Communication Systems,advanced communication systems,advanced-communication-systems,specialization
Advertising Management,advertising management,advertising-management,specialization
Aerospace Engineering,aerospace engineering,aerospace-engineering,specialization
Aerospace Medicine,aerospace medicine,aerospace-medicine,specialization
Agri-Business Management,agri-business management,agri-business-management,specialization
Agricultural and Food Engineering,agricultural and food engineering,agricultural-and-food-engineering,specialization
Agricultural Biotechnology,agricultural biotechnology,agricultural-biotechnology,specialization
Agricultural Botany,agricultural botany,agricultural-botany,specialization
Agricultural Economics,agricultural economics,agricultural-economics,specialization
Agricultural Engineering,agricultural engineering,agricultural-engineering,specialization
Agricultural Extension Education,agricultural extension education,agricultural-extension-education,specialization
Agricultural Information Technology,agricultural information technology,agricultural-information-technology,specialization
Agricultural Microbiology,agricultural microbiology,agricultural-microbiology,specialization
Agricultural Physics,agricultural physics,agricultural-physics,specialization
Agricultural Statistics,agricultural statistics,agricultural-statistics,specialization
Agriculture Chemistry and Soil Science,agriculture chemistry and soil science,agriculture-chemistry-and-soil-science,specialization
Agro-Forestry,agro-forestry,agro-forestry,specialization
Agro-Meteorology,agro-meteorology,agro-meteorology,specialization
Agronomy,agronomy,agronomy,specialization
Air Armament,air armament,air-armament,specialization
Airlines Management,airlines management,airlines-management,specialization
Alloy Technology,alloy technology,alloy-technology,specialization
Anatomy,anatomy,anatomy,specialization
Anatomy and Physiology,anatomy and physiology,anatomy-and-physiology,specialization
Anesthesiology,anesthesiology,anesthesiology,specialization
Animal Biotechnology,animal biotechnology,animal-biotechnology,specialization
Animal Science,animal science,animal-science,specialization
Animation and Visual Effects,animation and visual effects,animation-and-visual-effects,specialization
Animation Film Design,animation film design,animation-film-design,specialization
Anthropology,anthropology,anthropology,specialization
Apparel Production Management,apparel production management,apparel-production-management,specialization
Apparel Technology,apparel technology,apparel-technology,specialization
