label,value,slug,optionType
Miranda House,miranda house,miranda-house,institute
Lady Shri Ram College for Women,lady shri ram college for women,lady-shri-ram-college-for-women,institute
Hindu College,hindu college,hindu-college,institute
St. Stephen’s College,st. stephen’s college,st-stephens-college,institute
Presidency College,presidency college,presidency-college,institute
Loyola College,loyola college,loyola-college,institute
St. Xavier’s College,st. xavier’s college,st-xaviers-college,institute
Ramakrishna Mission Vidyamandira,ramakrishna mission vidyamandira,ramakrishna-mission-vidyamandira,institute
Hansraj College,hansraj college,hansraj-college,institute
PSGR Krishnammal College for Women,psgr krishnammal college for women,psgr-krishnammal-college-for-women,institute
Rama Krishna Mission Vivekananda Centenary College,rama krishna mission vivekananda centenary college,rama-krishna-mission-vivekananda-centenary-college,institute
Shri Ram College of Commerce,shri ram college of commerce,shri-ram-college-of-commerce,institute
Atma Ram Santan Dharm College,atma ram santan dharm college,atma-ram-santan-dharm-college,institute
Sri Venkateswara College,sri venkateswara college,sri-venkateswara-college,institute
Deen Dayal Upadhyaya College,deen dayal upadhyaya college,deen-dayal-upadhyaya-college,institute
Gargi College,gargi college,gargi-college,institute
Madras Christian College,madras christian college,madras-christian-college,institute
Acharya Narendra Dev College,acharya narendra dev college,acharya-narendra-dev-college,institute
Kirori Mal College,kirori mal college,kirori-mal-college,institute
Ramakrishna Mission Residential College,ramakrishna mission residential college,ramakrishna-mission-residential-college,institute
Dyal Singh College,dyal singh college,dyal-singh-college,institute
Thiagarajar College,thiagarajar college,thiagarajar-college,institute
University College, Thiruvananthapuram,university college, thiruvananthapuram,university-college-thiruvananthapuram,institute
PD Patel Institute of Applied Sciences,pd patel institute of applied sciences,pd-patel-institute-of-applied-sciences,institute
PSG College of Arts and Science,psg college of arts and science,psg-college-of-arts-and-science,institute
Daulat Ram College,daulat ram college,daulat-ram-college,institute
Scott Christian College,scott christian college,scott-christian-college,institute
Rajagiri College of Social Sciences,rajagiri college of social sciences,rajagiri-college-of-social-sciences,institute
Sri Krishna Arts and Science College,sri krishna arts and science college,sri-krishna-arts-and-science-college,institute
Sri Guru Tegh Bahadur Khalsa College,sri guru tegh bahadur khalsa college,sri-guru-tegh-bahadur-khalsa-college,institute
St Josephs College, Tiruchirapalli,st josephs college, tiruchirapalli,st-josephs-college-tiruchirapalli,institute
Lady Irwin College,lady irwin college,lady-irwin-college,institute
Madras School of Social Work,madras school of social work,madras-school-of-social-work,institute
Government Arts College,government arts college,government-arts-college,institute
Maitreyi College,maitreyi college,maitreyi-college,institute
Andhra Loyola College,andhra loyola college,andhra-loyola-college,institute
Jesus & Mary College,jesus & mary college,jesus--mary-college,institute
Women’s Christian College,women’s christian college,womens-christian-college,institute
Bishop Herber College,bishop herber college,bishop-herber-college,institute
Government College for Women,government college for women,government-college-for-women,institute
Queen Mary’s College,queen mary’s college,queen-marys-college,institute
Fergusson College,fergusson college,fergusson-college,institute
Indraprastha College for Women,indraprastha college for women,indraprastha-college-for-women,institute
Kamala Nehru College,kamala nehru college,kamala-nehru-college,institute
Maharaja Agrasen College,maharaja agrasen college,maharaja-agrasen-college,institute
Ethiraj College for Women,ethiraj college for women,ethiraj-college-for-women,institute
St. Teresa’s College,st. teresa’s college,st-teresas-college,institute
Mar Ivanios College,mar ivanios college,mar-ivanios-college,institute
IC College of Home Science,ic college of home science,ic-college-of-home-science,institute
St. Xavier’s College, Palayamkottai,st. xavier’s college, palayamkottai,st-xaviers-college-palayamkottai,institute
Shivaji College,shivaji college,shivaji-college,institute
Lady Doak College,lady doak college,lady-doak-college,institute
Virudhunagar Hindu Nadars Senthikumara Nadar College,virudhunagar hindu nadars senthikumara nadar college,virudhunagar-hindu-nadars-senthikumara-nadar-college,institute
Jamal Mohamed College,jamal mohamed college,jamal-mohamed-college,institute
Sacred Heart College,sacred heart college,sacred-heart-college,institute
Kanchi Mamunivar Centre for Post Graduate Studies,kanchi mamunivar centre for post graduate studies,kanchi-mamunivar-centre-for-post-graduate-studies,institute
Shaheed Sukhdev College of Business Studies,shaheed sukhdev college of business studies,shaheed-sukhdev-college-of-business-studies,institute
Ayya Nadar Janaki Ammal College,ayya nadar janaki ammal college,ayya-nadar-janaki-ammal-college,institute
St. Xavier’s College, Ahmedabad,st. xavier’s college, ahmedabad,st-xaviers-college-ahmedabad,institute
